trail_name,final_area,latitude,longitude,distance_miles,segment_count,node_count,source,review_notes
Boot Hill,Park City / PCMR,40.66311538182378,-111.50841776480048,0.2893387629353953,2,3,OpenStreetMap,
Boot Hill Connect,Park City / PCMR,40.66384832032967,-111.50809692977944,0.2267447819986804,1,2,OpenStreetMap,
Brighton Lakes Trail,Park City / PCMR,40.59287052758444,-111.58751257009568,1.897257838504431,10,9,OpenStreetMap,
CMG,Park City / PCMR,40.645848884326966,-111.51679268892973,2.9354415022680653,9,10,OpenStreetMap,
Catherine's Pass Trail,Park City / PCMR,40.585096359880005,-111.59078643106362,1.5251058935096915,1,2,OpenStreetMap,
Claim Jumper,Park City / PCMR,40.63958065995946,-111.52518162563226,1.4407665489024002,11,12,OpenStreetMap,
Clayton Peak Trail,Park City / PCMR,40.58693552999217,-111.57085635011327,2.017634735594292,8,9,OpenStreetMap,
Colony Mid Mountain Connector,Park City / PCMR,40.65011049975458,-111.53932673410868,0.4704632133189834,1,2,OpenStreetMap,
Comstock Mine Trail,Park City / PCMR,40.62270505527668,-111.54357954562096,0.6324903168932815,1,2,OpenStreetMap,
Crescent Ridge,Park City / PCMR,40.64328062856461,-111.5205999025961,1.0433609873417355,7,8,OpenStreetMap,
Cyn City,Park City / PCMR,40.62106458390316,-111.52108056020784,2.616941651468565,3,4,OpenStreetMap,
Dawns Trail,Park City / PCMR,40.65039115727101,-111.52578815180028,0.8691095373150084,1,2,OpenStreetMap,
Dead Tree,Park City / PCMR,40.611358588022426,-111.54588982448988,0.7709582364292185,2,3,OpenStreetMap,
Eagle Trail,Park City / PCMR,40.65138382915936,-111.51929067308184,0.5175131513522067,3,4,OpenStreetMap,
Eagle Way,Park City / PCMR,40.65295946154777,-111.48775315119684,0.9169203474436032,1,2,OpenStreetMap,
East Fallen Pines Lane,Park City / PCMR,40.61551642366452,-111.57912837068116,0.5879803275441051,2,3,OpenStreetMap,
Easy Rider,Park City / PCMR,40.59580193116481,-111.57632308440664,2.2708947344219883,7,8,OpenStreetMap,
Evil Empire,Park City / PCMR,40.61923823662483,-111.52513988679308,0.8743382179085835,3,4,OpenStreetMap,
Fat Lip,Park City / PCMR,40.62192963761681,-111.5279713594279,0.9500749325664994,4,5,OpenStreetMap,
First Time,Park City / PCMR,40.65050878239233,-111.51048291433958,0.5496569147394741,9,10,OpenStreetMap,
First Time Return,Park City / PCMR,40.65021414919943,-111.51090683334832,0.6912391260436946,7,8,OpenStreetMap,
Flat Cable,Park City / PCMR,40.644102718034645,-111.505628746172,0.9540180176956105,10,11,OpenStreetMap,
Flat Iron,Park City / PCMR,40.62696082564811,-111.51719430456902,0.5992409148204252,3,4,OpenStreetMap,
Forest Glen Trail,Park City / PCMR,40.61089948644494,-111.5784844905115,0.2453640829723189,1,2,OpenStreetMap,
Freemason,Park City / PCMR,40.65768683021079,-111.49819012622744,1.5379335402343446,4,5,OpenStreetMap,
Full Steam Billy,Park City / PCMR,40.64842922650065,-111.4945100220623,0.3374081234612734,1,2,OpenStreetMap,
Gambel Oak North,Park City / PCMR,40.65915752473873,-111.48180315635692,0.3167296696104135,2,3,OpenStreetMap,
Gambel Oak Trail,Park City / PCMR,40.64847351910524,-111.48419757905585,1.0303762680603132,4,5,OpenStreetMap,
Gold Finger,Park City / PCMR,40.65997467243904,-111.55431689925648,1.1421294028531843,1,2,OpenStreetMap,
Golden Needle,Park City / PCMR,40.59452078975266,-111.56725110409884,0.832380653077749,1,2,OpenStreetMap,
Gotcha Cuttoff,Park City / PCMR,40.64587964864319,-111.5166123821088,1.4811424334770853,7,8,OpenStreetMap,
H.A.M.,Park City / PCMR,40.64547382276132,-111.53139851516626,0.7953158162855987,3,4,OpenStreetMap,
Hang Time South,Park City / PCMR,40.65853660632904,-111.49606808644194,0.2624543793306007,2,3,OpenStreetMap,
Iron Man,Park City / PCMR,40.6585520468376,-111.5452566956134,2.9350941430116486,4,5,OpenStreetMap,
Iron Mountain Trail,Park City / PCMR,40.65649532455427,-111.54475504732362,0.5413267620786247,1,2,OpenStreetMap,
Jenni's Trail,Park City / PCMR,40.64869166733497,-111.51220769740809,1.4050051306446678,7,8,OpenStreetMap,
Jenni's Trail upper,Park City / PCMR,40.63937813819639,-111.5112423147728,3.115540806319588,11,12,OpenStreetMap,
Johns '99,Park City / PCMR,40.62911828578874,-111.50998374795329,1.1463272598720602,3,4,OpenStreetMap,
Johns Trail,Park City / PCMR,40.63760825426597,-111.50539626371148,1.8455851721343832,6,7,OpenStreetMap,
Jupiter Peak,Park City / PCMR,40.610319419324455,-111.54904593331813,1.2326219673735002,5,6,OpenStreetMap,
Jupiter Ridge,Park City / PCMR,40.61268065771163,-111.53867835914352,0.1794359184741005,1,2,OpenStreetMap,
Keystone Trail,Park City / PCMR,40.62506440637064,-111.53055382777043,2.603688918161734,8,9,OpenStreetMap,
Loose Moose,Park City / PCMR,40.64358346695202,-111.50940341630726,0.8327992481641062,2,3,OpenStreetMap,
Lost Prospector,Park City / PCMR,40.659849225736586,-111.4888557229514,3.165131184572034,13,14,OpenStreetMap,
Lower Masonic,Park City / PCMR,40.65358630670372,-111.49972319928794,0.6332320084261772,2,3,OpenStreetMap,
Masonic,Park City / PCMR,40.65628760128763,-111.48965728213436,1.271607741089301,3,4,OpenStreetMap,
McConkeys,Park City / PCMR,40.617956923480186,-111.52625119796232,2.0961182087109456,12,13,OpenStreetMap,
McConkeys / Io Trail (Middle),Park City / PCMR,40.61168680632571,-111.53326494678502,0.6153542674060682,1,2,OpenStreetMap,
Mid-Mountain Connect,Park City / PCMR,40.63223012461414,-111.51309555497544,0.1167135462795945,1,2,OpenStreetMap,
Mid-Mountain Trail,Park City / PCMR,40.64534582424172,-111.53118141177607,18.51272067997981,52,53,OpenStreetMap,
Miner's Mile,Park City / PCMR,40.62728968091632,-111.51804021102016,0.3540798612341984,5,6,OpenStreetMap,
Mojave,Park City / PCMR,40.634971780917176,-111.5211432294971,0.9499789145357528,4,5,OpenStreetMap,
Moose Tracks Trail,Park City / PCMR,40.59516414126596,-111.57427709390586,0.9482843470853516,4,5,OpenStreetMap,
Moosehouse,Park City / PCMR,40.63204398195126,-111.5038481086022,0.3062561137781002,1,2,OpenStreetMap,
Old Stage Crest Connect,Park City / PCMR,40.61247305094488,-111.5715274805363,0.3344944466360897,1,2,OpenStreetMap,
