trail_name,final_area,latitude,longitude,mean_elevation_feet,latitude_grid,longitude_grid,elevation_band,weather_group_key,weather_group_id,representative_latitude,representative_longitude,representative_elevation_feet,trail_count,minimum_elevation_feet,maximum_elevation_feet,elevation_difference_from_group_feet
Corvair Connector,Deer Valley,40.61070239150149,-111.5115633319795,8812.1,1624,-3718,17,1624_-3718_17,WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8,0.4500000000007276
Cyn City,Park City / PCMR,40.62106458390316,-111.52108056020784,8700.1,1624,-3718,17,1624_-3718_17,WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8,111.54999999999927
Empire Pass Connector,Deer Valley,40.60627316294136,-111.51481095351645,8948.4,1624,-3718,17,1624_-3718_17,WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8,136.75
Evil Empire,Park City / PCMR,40.61923823662483,-111.52513988679308,8746.8,1624,-3718,17,1624_-3718_17,WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8,64.85000000000036
Fat Lip,Park City / PCMR,40.62192963761681,-111.5279713594279,8931.1,1624,-3718,17,1624_-3718_17,WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8,119.45000000000073
McConkeys,Park City / PCMR,40.617956923480186,-111.52625119796232,8958.8,1624,-3718,17,1624_-3718_17,WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8,147.14999999999964
T&G,Deer Valley,40.611941402305575,-111.51506977898008,8673.3,1624,-3718,17,1624_-3718_17,WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8,138.35000000000036
T&G 2,Deer Valley,40.62089143656375,-111.51568549288604,8599.5,1624,-3718,17,1624_-3718_17,WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8,212.14999999999964
9K Trail,Park City / PCMR,40.61454424262402,-111.5340694590712,9222.8,1624,-3718,18,1624_-3718_18,WG017,40.61204535479932,-111.53286683509775,9229.779999999999,5,9025.4,9445.9,6.979999999999563
Bonanza Flat Overlook,Deer Valley,40.60116766018752,-111.5344182482656,9112.3,1624,-3718,18,1624_-3718_18,WG017,40.61204535479932,-111.53286683509775,9229.779999999999,5,9025.4,9445.9,117.47999999999956
Io Trail (Middle),Deer Valley,40.61025792344493,-111.52770861008732,9342.5,1624,-3718,18,1624_-3718_18,WG017,40.61204535479932,-111.53286683509775,9229.779999999999,5,9025.4,9445.9,112.72000000000116
Perrier Pass,Park City / PCMR,40.61814002894983,-111.53826776190397,9445.9,1624,-3718,18,1624_-3718_18,WG017,40.61204535479932,-111.53286683509775,9229.779999999999,5,9025.4,9445.9,216.1200000000008
Stiff Upper Lip,Park City / PCMR,40.61611691879028,-111.52987009616064,9025.4,1624,-3718,18,1624_-3718_18,WG017,40.61204535479932,-111.53286683509775,9229.779999999999,5,9025.4,9445.9,204.3799999999992
Jupiter Ridge,Park City / PCMR,40.61268065771163,-111.53867835914352,9869.4,1624,-3718,19,1624_-3718_19,WG018,40.61362040336093,-111.53695617408728,9685.5,3,9588.6,9869.4,183.89999999999964
McConkeys / Io Trail (Middle),Park City / PCMR,40.61168680632571,-111.53326494678502,9588.6,1624,-3718,19,1624_-3718_19,WG018,40.61362040336093,-111.53695617408728,9685.5,3,9588.6,9869.4,96.89999999999964
Pioneer Ridge,Park City / PCMR,40.61649374604546,-111.53892521633333,9598.5,1624,-3718,19,1624_-3718_19,WG018,40.61362040336093,-111.53695617408728,9685.5,3,9588.6,9869.4,87.0
Comstock Mine Trail,Park City / PCMR,40.62270505527668,-111.54357954562096,8723.6,1624,-3719,17,1624_-3719_17,WG019,40.62270505527668,-111.54357954562096,8723.6,1,8723.6,8723.6,0.0
Blazing Saddle,Park City / PCMR,40.61652898868821,-111.55635878361066,9384.9,1624,-3719,18,1624_-3719_18,WG020,40.61411427707917,-111.55642236610704,9308.525,4,9179.4,9423.9,76.375
