distance_meters,distance_miles,elevation_meters,elevation_feet
3460.0,2.1499443251411754,2197.78515625,7210.58145203125
3480.0,2.162371748985922,2195.962158203125,7204.600487119141
3500.0,2.174799172830669,2194.041259765625,7198.2983266894535
3520.0,2.1872265966754156,2193.01318359375,7194.925373261719
3540.0,2.1996540205201622,2191.855224609375,7191.126295107422
3560.0,2.212081444364909,2191.284912109375,7189.255191044922
3580.0,2.2245088682096554,2190.244384765625,7185.841387314453
3600.0,2.236936292054402,2189.556396484375,7183.584207841797
3620.0,2.249363715899149,2185.4091796875,7169.977853085938
3640.0,2.2617911397438957,2187.481201171875,7176.775824052735
3660.0,2.2742185635886423,2183.35888671875,7163.2511699023435
3680.0,2.286645987433389,2181.58447265625,7157.429601269531
3700.0,2.2990734112781355,2176.82666015625,7141.819979707031
3720.0,2.3115008351228825,2173.083740234375,7129.540058310547
3740.0,2.323928258967629,2170.278564453125,7120.336725400391
3760.0,2.3363556828123757,2171.58203125,7124.61319140625
3780.0,2.3487831066571223,2170.79541015625,7122.032413457031
3800.0,2.361210530501869,2169.31103515625,7117.162416582031
3820.0,2.3736379543466155,2167.982177734375,7112.802647998047
3840.0,2.3860653781913626,2166.578125,7108.196175625
3860.0,2.398492802036109,2167.831298828125,7112.307638447265
3880.0,2.4109202258808557,2166.276611328125,7107.206957509766
3900.0,2.4233476497256023,2166.182373046875,7106.897776787109
3920.0,2.435775073570349,2164.52197265625,7101.450268769531
3940.0,2.4482024974150955,2161.917236328125,7092.904545634766
3960.0,2.4606299212598426,2164.023681640625,7099.815455673828
3980.0,2.473057345104589,2166.2197265625,7107.0203276953125
4000.0,2.485484768949336,2166.595703125,7108.253846640625
4020.0,2.4979121927940824,2167.0166015625,7109.634747070312
4040.0,2.510339616638829,2167.792236328125,7112.179480634765
4060.0,2.522767040483576,2168.38818359375,7114.134688261719
4080.0,2.5351944643283226,2168.165283203125,7113.403387744141
4100.0,2.5476218881730692,2166.089111328125,7106.591800009765
4120.0,2.560049312017816,2165.424560546875,7104.4115152246095
4140.0,2.5724767358625624,2162.92529296875,7096.211818183594
4160.0,2.584904159707309,2160.664794921875,7088.795485771484
4180.0,2.597331583552056,2160.631103515625,7088.684949658203
4200.0,2.6097590073968027,2158.677978515625,7082.277059033203
4220.0,2.6221864312415493,2156.267333984375,7074.368120029297
4240.0,2.634613855086296,2157.234619140625,7077.541627861328
4260.0,2.6470412789310425,2154.195068359375,7067.569348076172
4280.0,2.6594687027757895,2152.207763671875,7061.049319365235
4300.0,2.671896126620536,2155.361572265625,7071.396460751953
4320.0,2.6843235504652827,2152.200927734375,7061.026891748047
4340.0,2.6967509743100293,2151.090576171875,7057.3840059277345
4360.0,2.709178398154776,2152.75341796875,7062.839523808594
4380.0,2.7216058219995225,2149.287353515625,7051.467920908203
4400.0,2.7340332458442695,2150.389892578125,7055.085175166016
4420.0,2.746460669689016,2149.326904296875,7051.5976806933595
4440.0,2.7588880935337627,2147.610107421875,7045.965144833985
4460.0,2.7713155173785093,2144.9033203125,7037.0846094140625
4480.0,2.783742941223256,2145.003662109375,7037.413814794922
4500.0,2.796170365068003,2143.924072265625,7033.871853251953
4520.0,2.8085977889127496,2140.574462890625,7022.882320830078
4540.0,2.821025212757496,2138.424560546875,7015.828835224609
4560.0,2.833452636602243,2135.285888671875,7005.531354990234
4580.0,2.8458800604469894,2138.018310546875,7014.4959939746095
