u,v,key,osmid,trail_name,highway,length_meters,length_miles
1510742046,9898350491,0,1343884061,Meadow Road,track,231.20479635778239,0.14366399996382526
1686050491,4984146478,0,998445905,Bonanza Trail,track,243.5099183965454,0.15131004831567732
1793626877,10099170104,0,10161591,Flat Iron,track,617.0873011381344,0.3834402720227213
1793626877,9545984057,0,1079868975,Thaynes Road,track,73.59285314864998,0.04572847890112367
1793626877,3066001896,0,1079868975,Thaynes Road,track,196.8262232106287,0.12230214497995998
2390925587,9898591361,0,1079889709,Payday,track,201.4671819756378,0.12518590306089797
2481633139,3058087859,0,301716765,CMG,path,424.2832834161568,0.263637409662668
2481633139,3147526997,0,518350723,Mid-Mountain Trail,path,218.57005431797052,0.13581313523893618
2481633139,2481633161,0,518350723,Mid-Mountain Trail,path,1374.3488765804577,0.8539807999908395
2481633161,5058406823,0,10158304,Thaynes Canyon,track,738.6410289930626,0.4589702568208305
2481633177,5058231164,0,518568261,Eagle Trail,path,238.81159977880174,0.14839064847465908
2481633177,6835788479,0,1298662541,Spiro Trail,path,287.4994459375161,0.17864387348976732
2481633195,5058406863,0,240425466,Spiro Trail,path,171.62446029627515,0.10664249551138547
2481633195,9900613486,0,1080124233,Claim Jumper,track,164.9121400026665,0.10247165304786701
2485117951,2485118202,0,240822985,Hat Trick Trail,path,313.31346241315816,0.1946839596836712
2485117973,2485118456,0,240822968,Fast Pitch Trail,path,135.61643701168657,0.08426814715293099
2485117973,2485118202,0,240822972,Fast Pitch Trail,path,818.5866276211077,0.5086461487544662
2485117973,2485118332,0,240822980,Hat Trick Trail,path,486.3934206654114,0.30223085969526176
2485117973,2623018736,0,240822980,Hat Trick Trail,path,337.58698261520374,0.20976682587141326
2485118115,10155954146,0,240822976,Round Valley Express,path,26.7610961292808,0.016628574207429116
2485118115,2622992492,0,1110158015,Big Easy,path,53.6846996882618,0.03335812585019846
2485118115,2485118311,0,1426932545,Runnel,path,85.69277579376897,0.05324702226110078
2485118200,2622992598,0,240822976,Round Valley Express,path,41.35768183762358,0.025698472071616497
2485118200,2622992496,0,240822976,Round Valley Express,path,449.8307772399073,0.2795118863586078
2485118200,2485118445,0,"[1175104424, 1175104425, 1103979604]",Ability Way Connector,path,62.26397024803527,0.038689037426451564
2485118202,4847977623,0,240822972,Fast Pitch Trail,path,22.10916902975986,0.013738000719398626
2485118202,2623018736,0,240822980,Hat Trick Trail,path,239.5487677755961,0.1488487034317064
2485118293,2485118456,0,240822969,Fairway Hills Trail,path,237.29619726892827,0.14744902101037954
2485118311,2485118449,0,240822986,Fast Pitch Trail,path,305.0990116341197,0.18957973660952515
2485118311,2485118433,0,"[968554153, 240822986]",Fast Pitch Trail,"['path', 'service']",124.0254190281438,0.07706582248925264
2485118332,2485118456,0,240822969,Fairway Hills Trail,path,293.2426022990233,0.18221250540532247
2485118332,2485118449,0,240822980,Hat Trick Trail,path,731.367157431223,0.4544504825762689
2485118433,2622992488,0,988789987,Sunny Slopes Trail,path,59.05452346166201,0.03669477965038053
2485118445,2485118456,0,240822984,Fast Pitch Trail,path,572.6675720059883,0.35583913197302025
2485118445,2485118449,0,240822984,Fast Pitch Trail,path,151.21336872179901,0.09395963120488783
2485118465,13120540575,0,"[240822976, 1233044657]",Round Valley Express / Ability Way Trail,path,53.791384891106965,0.033424416961884446
2501234133,9900556643,0,1080118134,Rossi Hill Trail,path,74.5275430174119,0.04630926825924843
2501234200,3065085757,0,302255830,Solamere,path,365.71620604275233,0.22724551496929948
2501234214,3065085737,0,302255828,Solamere,path,318.54486932803115,0.19793460523544448
2501234238,5057861599,0,302255828,Solamere,path,97.47795252762373,0.0605699915789438
2501234378,10919385296,0,368624969,Fox Tail Trail,path,88.49162629700328,0.05498614733518954
2501234378,3724762020,0,1103930231,Fox Tail Cutoff,track,148.26622963385512,0.09212836387612289
2501238048,11057493639,0,302339851,TDS Ontario Bypass,path,104.14280659737294,0.0647113398983517
2501238111,9900556846,0,1103930212,Lookout Access,path,227.47427133273496,0.14134595918134032
2501238119,3065970041,0,302339857,TDS Ontario Bypass,path,10.167846782880948,0.006318007077965275
2501238119,9900438114,0,302331628,Ontario Ridge Road,track,747.652545323423,0.4645697534668927
2501238119,2501238121,0,302331628,Ontario Ridge Road,track,30.495744238042953,0.018949176955357555
2501238121,3065913538,0,302331628,Ontario Ridge Road,track,139.0175653259798,0.08638151030853553
2501238121,3727622704,0,368924260,Prospect,path,57.08499893853619,0.03547097384930517
2622992488,10155954135,0,988789987,Sunny Slopes Trail,path,39.34558369209115,0.02444821224802848
2622992492,10155954135,0,1110158015,Big Easy,path,34.32091161522983,0.021326025769027524
2622992496,10155954146,0,240822976,Round Valley Express,path,14.417418766652062,0.008958568688019504
2622992496,2622992525,0,256662218,Big Easy,path,365.8779002234695,0.22734598707514955
2622992525,2622992546,0,256662218,Big Easy,path,331.6063628444767,0.20605064103415843
2622992525,13120550086,0,256662220,Valderoad,path,572.1177698967612,0.3554975007809152
2622992546,13120540314,0,256662218,Big Easy,path,198.88721611046137,0.12358278659532167
2622992546,13120540470,0,256662222,Practice Loops,path,352.62491276588077,0.21911096245792122
2622992568,3714741468,0,367557846,Round Valley Express,path,781.3742871693428,0.4855234724020115
2622992568,10102392775,0,988775656,Valderoad,path,588.1168630412054,0.36543887636279465
2622992598,11439362366,0,240822976,Round Valley Express,path,239.27524316583978,0.14867874311883586
2622992598,13120540470,0,256662221,Matts Access,path,276.8353850682284,0.1720175332733265
2622992629,2622992639,0,256662222,Practice Loops,path,167.54455581534458,0.1041073603998552
2622992629,13120540470,0,256662222,Practice Loops,path,132.72631972362456,0.08247231152794217
2622992629,13120540575,0,1427238621,Practice Loops,path,252.9666337336606,0.15718617879934965
2622992639,9139065724,0,256665225,Quinn's Connect,path,472.6613407516522,0.29369814082735085
2622992639,13120540314,0,1103979605,Rambler,path,138.82336365506984,0.08626083898474772
2622992672,13120540241,0,256662218,Big Easy,path,357.9726965611646,0.22243392125062422
2622992672,13120540314,0,256662218,Big Easy,path,44.59016748348203,0.02770704553127363
2622992672,13120549917,0,256662224,Somewhere Elks,path,1536.1694762832917,0.9545314589567498
2622992806,10155955530,0,256665243,Backslide,path,143.10497419676693,0.08892130843173798
2622992806,13120550156,0,988775672,Nowhere Elks,path,122.28062354804914,0.0759816568415759
2623018715,9139065724,0,256665225,Quinn's Connect,path,11.169129656892451,0.006940175411156627
2623018715,2623018731,0,256665235,Quinn's Connect,path,243.32148745213536,0.15119296275509483
2623018731,2623018736,0,988775658,Quinn's Connect,path,67.7730156031346,0.04211219950683918
2623018758,10287880817,0,988775672,Nowhere Elks,path,2.5673083588125487,0.0015952514557562266
2623018758,2623018811,0,256665238,Elks Connect,path,42.5224908619516,0.026422250843792006
2623018758,10287880532,0,988775672,Nowhere Elks,path,163.27189364978628,0.1014524512160149
2623018777,9139033878,0,667242551,PorcUclimb,path,10.40135995785172,0.006463105437899989
2623018777,10287880768,0,988767075,Nowhere Elks,path,14.583049668739399,0.009061486959120858
2623018777,10287880532,0,988767075,Nowhere Elks,path,78.28170365538918,0.04864199553071884
2623018791,6247349611,0,988790003,Barrel Roll (West),path,160.5695698420279,0.09977330504977674
2623018791,10286245620,0,1426932544,Matt's Flat,path,51.997211748463215,0.032309569457159695
2623018791,10286245610,0,1426932544,Matt's Flat,path,184.5398176580008,0.11466772651341217
2623018810,6247349611,0,256665236,Barrel Roll,path,559.3132655734424,0.34754115066352653
2623018810,2623018811,0,256665237,Elks to Barrel Roll,path,34.275005610792086,0.02129750110031919
2623018810,10287880817,0,988790008,Barrel Roll,path,31.29807592744631,0.019447722753771914
2623018811,10287880532,0,256665237,Elks to Barrel Roll,path,46.92392369458044,0.02915717441055513
2623018817,10286245627,0,240822993,Round Valley Express,path,205.3532772118863,0.12760061069099354
2623018817,10286293224,0,240822993,Round Valley Express,path,76.40769517285197,0.047477540645661814
2623018817,2623018884,0,256665244,Seventy 101,path,286.88562026620286,0.17826245990055753
2623018817,10155955616,0,1175104403,Seventy 101,path,35.001431147815026,0.02174888100233078
2623018841,2623018849,0,988767074,Rademan Ridge,path,29.001343973310817,0.018020599681181162
2623018841,9139033781,0,988767074,Rademan Ridge,path,471.7035736901766,0.29310301196647615
2623018841,2623018844,0,988775669,Cammy's,path,104.71921375187392,0.06506950269915812
2623018844,4996336338,0,510673547,Quarry Road,path,76.82216919486729,0.047735082862872875
2623018844,4996336017,0,988775670,Cammy's,path,48.95373186360786,0.030418438732556778
2623018849,4996335985,0,256665240,Cammy's,path,174.07245113145376,0.10816360649522648
2623018849,4996335611,0,938142026,Rademan Ridge,path,37.986459800141006,0.023603691814889177
2623018884,10286293251,0,256665242,Matt's Flat,path,4.528255621174927,0.0028137275940848736
2623018884,10286245610,0,256665242,Matt's Flat,path,192.7341372697778,0.1197594406601558
2623018884,2623019076,0,256665244,Seventy 101,path,127.11500854074325,0.07898560440822051
2623018938,10286112007,0,256665242,Matt's Flat,path,500.850580367913,0.3112141222559707
2623018938,10286293268,0,256665242,Matt's Flat,path,15.965784466423404,0.009920678528905817
2623018994,10155955530,0,256665243,Backslide,path,717.8174159975545,0.44603106358712274
2623018994,10286293299,0,256665243,Backslide,path,763.0467890394744,0.4741352930383277
2623018994,10155955616,0,"[988775673, 1175104403]",Seventy 101,path,218.73520265939808,0.13591575366074504
2623019076,10286245632,0,988775656,Valderoad,path,11.425949389011622,0.007099755794293589
2623019077,6247336197,0,667242550,Seventy 101,path,309.86467701067374,0.19254098378635875
2623019077,10286245632,0,667242550,Seventy 101,path,32.267227718367785,0.02004992575755574
2623019077,10102392775,0,1103979613,Nick NAC,path,25.30469496694986,0.0157236084808157
2623039840,10102156384,0,256667272,Lost Prospector Access,path,80.4309488508494,0.04997747458023232
2623039856,2623039877,0,256667273,Skid Row,path,32.8029244600079,0.020382792280586315
2623039856,10102156384,0,256667272,Lost Prospector Access,path,806.7197661015853,0.5012724228639652
2623039856,3064995868,0,256667273,Skid Row,path,1277.8748030106035,0.7940345898767469
2670656079,3065913558,0,1103600505,Daly Canyon,track,107.4854146023758,0.0667883402196024
2670656079,9900434638,0,1103600506,Daly Canyon,track,59.72203671056187,0.03710955315368366
2670656079,10099187306,0,1103600506,Daly Canyon,track,151.5780683394681,0.09418624504112738
2670656273,9900434675,0,1368810677,Mid-Mountain Trail,path,136.11853612554808,0.08458013707793242
2670656273,2670656486,0,1368810677,Mid-Mountain Trail,path,24.57830571505359,0.015272251125336528
2670656388,3714945351,0,1103600514,T&G,track,88.38660309881907,0.05492088894532124
2670656388,5058230298,0,1103600515,T&G,track,148.54043639319417,0.09229874805709293
2670656404,5008601368,0,518568228,Empire Lodge,track,18.46417382041489,0.01147310570046857
2670656404,2670656451,0,518568228,Empire Lodge,track,95.69051898797788,0.05945933186936906
2670656451,9900434680,0,518568228,Empire Lodge,track,122.59911432482043,0.07617955783525487
2670656486,9881426916,0,1076183672,Little Chief,path,880.0871824274641,0.5468608218177494
2670656486,3714945409,0,1368810677,Mid-Mountain Trail,path,1234.480074380952,0.7670703556113248
2670656583,10099187306,0,1103600506,Daly Canyon,track,249.07674035261567,0.15476911111149366
2670656583,2674871805,0,1103600506,Daly Canyon,track,94.96042350897571,0.05900567157113439
2670668377,5057861514,0,365438456,Deer Crest,path,19.50089802603413,0.0121172962561355
2670668377,3694546127,0,365438456,Deer Crest,path,515.091111014697,0.3200627777620552
2670679190,8939372180,0,1103896216,Old NCS Access,track,188.7978892576887,0.11731356953994217
2670679190,2670679802,0,1103896218,Deer Valley Service,track,1205.370693751753,0.7489826250644691
2670679244,10101969821,0,36744119,Deer Valley Service,track,5.675695360914029,0.0035267135931870554
2670679244,11895900558,0,36744119,Deer Valley Service,track,621.4340381591888,0.38614120918783607
