date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precip_1d,precip_3d,precip_7d,mean_temp_3d,mean_temp_7d,freeze_thaw,freeze_thaw_3d,freeze_thaw_7d,snowfall_3d,snowfall_7d,days_since_precip
2026-02-03,42.1,20.0,29.1,0.0,0.0,0.0,0.0,0.0,0.06699999999999956,32.599999999999994,29.45714285714286,1,3.0,7.0,0.0,0.46899999999999864,6
2026-02-04,44.6,24.1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,31.53333333333332,30.32857142857143,1,3.0,7.0,0.0,0.0,7
2026-02-05,46.3,27.3,36.0,0.0,0.0,0.0,0.0,0.0,0.0,32.69999999999999,32.18571428571429,1,3.0,7.0,0.0,0.0,8
2026-02-06,47.1,29.8,36.1,0.0,0.0,0.0,0.0,0.0,0.0,35.033333333333324,33.65714285714286,1,3.0,7.0,0.0,0.0,9
2026-02-07,45.1,26.6,34.6,0.0,0.0,0.0,0.0,0.0,0.0,35.566666666666656,33.92857142857143,1,3.0,7.0,0.0,0.0,10
2026-02-08,46.7,25.1,34.7,0.0,0.0,0.0,0.0,0.0,0.0,35.133333333333326,33.714285714285715,1,3.0,7.0,0.0,0.0,11
2026-02-09,36.9,21.8,31.9,0.031,0.0,0.22,0.031,0.031000000000000444,0.030999999999999556,33.73333333333333,33.628571428571426,1,3.0,7.0,0.22000000000000267,0.21999999999999867,0
2026-02-10,35.8,21.4,28.2,0.098,0.0,0.689,0.098,0.12900000000000045,0.12899999999999956,31.59999999999999,33.5,1,3.0,7.0,0.9090000000000026,0.9089999999999986,0
2026-02-11,43.2,30.5,34.5,0.437,0.012,2.976,0.437,0.5660000000000005,0.5659999999999996,31.53333333333332,33.714285714285715,1,3.0,7.0,3.8850000000000025,3.8849999999999985,0
2026-02-12,41.6,26.0,33.4,0.433,0.004,3.004,0.433,0.9680000000000004,0.9989999999999996,32.033333333333324,33.34285714285714,1,3.0,7.0,6.669000000000002,6.8889999999999985,0
2026-02-13,38.6,19.5,28.8,0.079,0.0,0.551,0.079,0.9490000000000004,1.0779999999999996,32.23333333333333,32.3,1,3.0,7.0,6.531000000000002,7.439999999999999,0
2026-02-14,44.0,17.3,28.5,0.0,0.0,0.0,0.0,0.5120000000000005,1.0779999999999996,30.233333333333324,31.428571428571427,1,3.0,7.0,3.555000000000003,7.439999999999999,1
2026-02-15,41.6,24.2,31.5,0.0,0.0,0.0,0.0,0.07900000000000044,1.0779999999999996,29.59999999999999,30.971428571428568,1,3.0,7.0,0.5510000000000027,7.439999999999999,2
2026-02-16,43.8,24.2,33.1,0.012,0.0,0.083,0.012,0.012000000000000444,1.0589999999999997,31.033333333333328,31.142857142857142,1,3.0,7.0,0.08300000000000267,7.302999999999999,0
2026-02-17,34.0,18.6,27.1,0.756,0.004,5.264,0.756,0.7680000000000005,1.7169999999999996,30.566666666666663,30.985714285714288,1,3.0,7.0,5.347000000000003,11.878,0
2026-02-18,27.4,9.0,21.2,0.787,0.004,5.484,0.787,1.5550000000000006,2.0669999999999993,27.133333333333326,29.085714285714285,0,2.0,6.0,10.831000000000003,14.386,0
2026-02-19,24.1,1.3,12.6,0.024,0.0,0.22,0.024,1.5670000000000004,1.6579999999999997,20.29999999999999,26.11428571428571,0,1.0,5.0,10.968000000000004,11.601999999999999,0
2026-02-20,22.4,6.0,14.4,0.098,0.0,0.689,0.098,0.9090000000000005,1.6769999999999996,16.06666666666666,24.057142857142857,0,0.0,4.0,6.3930000000000025,11.739999999999998,0
2026-02-21,37.1,4.5,18.9,0.0,0.0,0.0,0.0,0.12200000000000044,1.6769999999999996,15.29999999999999,22.685714285714287,1,1.0,4.0,0.9090000000000026,11.739999999999998,1
2026-02-22,46.1,17.0,28.8,0.0,0.0,0.0,0.0,0.09800000000000045,1.6769999999999996,20.69999999999999,22.3,1,2.0,4.0,0.6890000000000026,11.739999999999998,2
