date,trail_name,final_area,weather_group_id,trail_latitude,trail_longitude,trail_elevation_feet,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum
2026-08-26,Jupiter Peak,Park City / PCMR,WG021,40.610319419324455,-111.54904593331813,9871.3,3,66.8,51.4,58.3,0.0,0.0,0.0
2026-08-26,Jupiter Ridge,Park City / PCMR,WG018,40.61268065771163,-111.53867835914352,9869.4,3,66.9,51.5,58.5,0.0,0.0,0.0
2026-08-26,Kaboom Trail / Call Sign Casa Trail,Jordanelle,WG027,40.62794719612903,-111.45468580169128,6888.6,3,82.2,58.1,70.2,0.0,0.0,0.0
2026-08-26,Kari's,Round Valley,WG055,40.69160040530727,-111.47515847036864,6850.2,3,82.2,55.5,69.3,0.0,0.0,0.0
2026-08-26,Keetley,Jordanelle,WG024,40.6438983646529,-111.4097274639112,6255.4,3,84.2,59.9,72.3,0.0,0.0,0.0
2026-08-26,Keystone Trail,Park City / PCMR,WG037,40.62506440637064,-111.53055382777043,8890.7,3,72.5,57.5,64.4,0.0,0.0,0.0
2026-08-26,La Dee Duh,Round Valley,WG057,40.69261799590889,-111.5001632592338,6864.5,3,80.9,54.1,68.7,0.0,0.0,0.0
2026-08-26,Lavina,Deer Valley,WG006,40.58376333945228,-111.52567195673171,8621.7,3,72.9,55.8,63.6,0.0,0.0,0.0
2026-08-26,Legacy Loop,Jeremy Ranch / Glenwild,WG071,40.705995804360256,-111.55961886682412,7342.6,3,79.3,57.5,69.0,0.0,0.0,0.0
2026-08-26,Legacy Ridge,Jeremy Ranch / Glenwild,WG071,40.70648419743829,-111.5603960205038,7414.3,3,79.3,57.5,69.0,0.0,0.0,0.0
2026-08-26,Legacy. Loop,Jeremy Ranch / Glenwild,WG071,40.70737188748682,-111.5599210439625,7363.1,3,79.3,57.5,69.0,0.0,0.0,0.0
2026-08-26,Link,Deer Valley,WG015,40.624117394272574,-111.51614328186776,8385.3,3,73.7,58.8,65.6,0.0,0.0,0.0
2026-08-26,Little Chief,Deer Valley,WG015,40.61872839208637,-111.51243052868438,8322.6,3,73.7,58.8,65.6,0.0,0.0,0.0
2026-08-26,Little Engine Trail,Summit Park,WG089,40.756690732809,-111.59562244098744,6709.3,3,83.3,57.4,71.2,0.0,0.0,0.0
2026-08-26,Little Stick,Deer Valley,WG028,40.63409637421967,-111.478301770839,7464.6,3,78.5,61.3,69.9,0.0,0.0,0.0
2026-08-26,Longview,Jordanelle,WG040,40.65785550770212,-111.4151527495857,6299.6,3,84.0,59.7,72.1,0.0,0.0,0.0
2026-08-26,Looney Tunes Trail,Jordanelle,WG002,40.58370423178651,-111.40605522395904,7149.3,53,80.9,58.7,69.1,0.028,0.028,0.0
2026-08-26,Loose Moose,Park City / PCMR,WG031,40.64358346695202,-111.50940341630726,7446.3,3,78.1,60.9,69.5,0.0,0.0,0.0
2026-08-26,Lost Prospector,Park City / PCMR,WG047,40.659849225736586,-111.4888557229514,7044.5,3,80.0,57.9,69.7,0.0,0.0,0.0
2026-08-26,Lower Devo Trail,Deer Valley,WG032,40.63290230557317,-111.48205615844142,7656.5,3,76.8,59.6,68.1,0.0,0.0,0.0
2026-08-26,Lower Masonic,Park City / PCMR,WG047,40.65358630670372,-111.49972319928794,7113.0,3,80.0,57.9,69.7,0.0,0.0,0.0
2026-08-26,Lower Sparky Trail,Clark Ranch,WG044,40.66761130235187,-111.4559551589961,6689.8,3,82.1,56.7,69.6,0.0,0.0,0.0
2026-08-26,Lower Village,Deer Valley,WG028,40.64043848354113,-111.46360640728942,7008.1,3,78.5,61.3,69.9,0.0,0.0,0.0
2026-08-26,Lynx #2,Round Valley,WG044,40.66734087696376,-111.46694625830712,6898.8,3,82.1,56.7,69.6,0.0,0.0,0.0
2026-08-26,Masonic,Park City / PCMR,WG047,40.65628760128763,-111.48965728213436,7283.0,3,80.0,57.9,69.7,0.0,0.0,0.0
2026-08-26,Matt's Flat,Round Valley,WG057,40.68924275786925,-111.49221205396208,6921.6,3,80.9,54.1,68.7,0.0,0.0,0.0
2026-08-26,McConkeys,Park City / PCMR,WG016,40.617956923480186,-111.52625119796232,8958.8,3,72.0,54.9,62.8,0.0,0.0,0.0
